studyn	studyc	narms	t1	t2	t3	t4	t5	y2	Var2	y3	Var3	y4	Var4	y5	Var5	V
44	JAZAIERI2012	2	4	27	NA	NA	NA	-0.154771675	0.078597392	NA	NA	NA	NA	NA	NA	NA
45	TITOV2010b	2	6	6	NA	NA	NA	0.151445806	0.030368021	NA	NA	NA	NA	NA	NA	NA
46	TITOV2009b	2	6	8	NA	NA	NA	-0.275989655	0.020290151	NA	NA	NA	NA	NA	NA	NA
47	TITOV2009a	2	8	8	NA	NA	NA	0.007661103	0.039951144	NA	NA	NA	NA	NA	NA	NA
48	ANDREWS2011	2	8	30	NA	NA	NA	-0.098454638	0.095640206	NA	NA	NA	NA	NA	NA	NA
49	HEDMAN2011	2	8	31	NA	NA	NA	0.230010405	0.024528285	NA	NA	NA	NA	NA	NA	NA
50	SEEDAT2004	2	18	39	NA	NA	NA	-0.431874592	0.108429913	NA	NA	NA	NA	NA	NA	NA
51	OTTO2000	2	21	31	NA	NA	NA	0.106403119	0.064261362	NA	NA	NA	NA	NA	NA	NA
52	KNIJNIK2008	2	21	38	NA	NA	NA	-0.107228929	0.068383675	NA	NA	NA	NA	NA	NA	NA
53	STRAVYNSKI2000	2	24	25	NA	NA	NA	-0.01265096	0.050780535	NA	NA	NA	NA	NA	NA	NA
54	BORGEAT2009	2	24	30	NA	NA	NA	-0.194964613	0.118891153	NA	NA	NA	NA	NA	NA	NA
55	MATTICK1988	2	24	30	NA	NA	NA	0.140740584	0.068912411	NA	NA	NA	NA	NA	NA	NA
56	SALABERRIA1998	2	24	30	NA	NA	NA	0.011795272	0.089372911	NA	NA	NA	NA	NA	NA	NA
57	LIPSITZ2008	2	26	28	NA	NA	NA	-0.084274923	0.058611936	NA	NA	NA	NA	NA	NA	NA
58	COTTRAUX2000	2	26	35	NA	NA	NA	-1.150454656	0.066344757	NA	NA	NA	NA	NA	NA	NA
59	PIET2010	2	27	30	NA	NA	NA	0.012859613	0.111968033	NA	NA	NA	NA	NA	NA	NA
60	KOSZYCKI2007	2	27	31	NA	NA	NA	-0.765466864	0.0575631	NA	NA	NA	NA	NA	NA	NA
61	MCEVOY2009	2	30	30	NA	NA	NA	0.005074189	0.054167032	NA	NA	NA	NA	NA	NA	NA
62	MORGAN1999	2	30	30	NA	NA	NA	-0.588724389	0.097222228	NA	NA	NA	NA	NA	NA	NA
63	MORTBERG2007	2	30	33	NA	NA	NA	-0.19893648	0.042956278	NA	NA	NA	NA	NA	NA	NA
64	HERBERT2005	2	31	31	NA	NA	NA	0.197864406	0.050517634	NA	NA	NA	NA	NA	NA	NA
65	HERBERT2004	2	35	35	NA	NA	NA	0.831595534	0.094431149	NA	NA	NA	NA	NA	NA	NA
66	Willutzki2004	2	35	35	NA	NA	NA	-0.299175273	0.046372059	NA	NA	NA	NA	NA	NA	NA
67	CHUNG2008	3	1	5	7	NA	NA	-0.527617361	0.132720853	-0.58287419	0.122467826	NA	NA	NA	NA	0.071428571
68	FURMARK2009a	3	1	5	8	NA	NA	-0.667164493	0.039020537	-0.625564669	0.038909081	NA	NA	NA	NA	0.025
69	TITOV2008c	3	1	6	8	NA	NA	-0.41624354	0.051117555	-0.990528783	0.052775936	NA	NA	NA	NA	0.028571429
70	FURMARK2002	3	1	14	30	NA	NA	-0.928529824	0.272467244	-1.500297716	0.295117556	NA	NA	NA	NA	0.166666667
71	MATTICK1989	3	1	24	30	NA	NA	-0.552785188	0.165503123	-0.644021222	0.166267591	NA	NA	NA	NA	0.125
72	HOPE1995	3	1	24	31	NA	NA	-1.500560512	0.167082023	-1.06165359	0.141287631	NA	NA	NA	NA	0.1
73	CLARK2006	3	1	24	36	NA	NA	-0.943374346	0.071296281	-1.854451128	0.078493969	NA	NA	NA	NA	0.05
74	STANGIER2011	3	1	28	33	NA	NA	-0.442200291	0.042004584	-0.802896592	0.04316023	NA	NA	NA	NA	0.024390244
75	LEICHSENRING2012	3	1	29	33	NA	NA	-0.866715182	0.019904585	-1.287505915	0.020260177	NA	NA	NA	NA	0.016528926
76	EMMELKAMP2006	3	1	29	35	NA	NA	0.159264984	0.105124248	-0.059724369	0.114750714	NA	NA	NA	NA	0.0625
77	STANGIER2003	3	1	30	33	NA	NA	0.032634329	0.070637037	-0.277730518	0.070969111	NA	NA	NA	NA	0.047619048
78	GRUBER2001	3	1	31	31	NA	NA	-1.194350972	0.105779351	-0.653248298	0.096964709	NA	NA	NA	NA	0.058823529
79	ROBILLARD2010	3	1	35	35	NA	NA	-1.166047884	0.104796671	-1.289116537	0.113174995	NA	NA	NA	NA	0.066666667
80	CLARK2012	3	1	36	36	NA	NA	-1.627374352	0.056942489	-1.905824008	0.059975479	NA	NA	NA	NA	0.037037037
81	PFIZER2007	3	2	9	18	NA	NA	-0.041375733	0.02228592	-0.469659542	0.02163822	NA	NA	NA	NA	0.012738854
82	CLARK2003	3	2	16	36	NA	NA	-0.131405279	0.071333199	-0.738637388	0.072033082	NA	NA	NA	NA	0.05
83	GLAXOSMITHKLINE2006	3	2	18	18	NA	NA	-0.359611453	0.012674267	-0.322238341	0.012603768	NA	NA	NA	NA	0.007692308
84	LIEBOWITZ2002	3	2	18	18	NA	NA	-0.326377659	0.017001924	-0.279702851	0.017077041	NA	NA	NA	NA	0.010869565
85	ALLGULANDER2004	3	2	18	19	NA	NA	-0.563787661	0.012912492	-0.624386017	0.012918948	NA	NA	NA	NA	0.007575758
86	LIEBOWITZ2005b	3	2	18	19	NA	NA	-0.736713227	0.012174487	-0.559009819	0.012138614	NA	NA	NA	NA	0.006944444
87	STEIN2005	3	2	19	19	NA	NA	-0.671890803	0.016889521	-0.648880844	0.016847949	NA	NA	NA	NA	0.007936508
88	VERSIANI1992	3	2	22	23	NA	NA	-0.950673823	0.05886551	-1.526946309	0.062667781	NA	NA	NA	NA	0.038461538
89	OOSTERBAAN2001	3	2	22	35	NA	NA	0.356069704	0.077276033	-0.344538088	0.077233365	NA	NA	NA	NA	0.052631579
90	RAPEE2009	3	3	30	32	NA	NA	-0.169175829	0.032919115	-0.507832223	0.030652588	NA	NA	NA	NA	0.020833333
91	BERGER2011	3	6	8	8	NA	NA	-0.176933857	0.056428167	-0.085270418	0.056351757	NA	NA	NA	NA	0.037037037
92	PRASKO2003	3	22	35	40	NA	NA	-0.84533824	0.078013682	-0.681401585	0.079785563	NA	NA	NA	NA	0.05
93	RAPEE2007	4	1	5	30	30	NA	-0.397452443	0.030699128	-0.522931701	0.030105395	-0.685473073	0.030847894	NA	NA	0.019230769
94	BLOMHOFF2001	4	2	2	13	13	NA	-0.125405929	0.01596324	-0.295252046	0.015857265	-0.397862701	0.01567669	NA	NA	0.010869565
95	HEIMBERG1998	4	2	3	23	31	NA	-0.257542989	0.052900382	-1.403204864	0.055804966	-0.311151705	0.050952994	NA	NA	0.037037037
96	GELERNTER1991	4	2	20	23	31	NA	-0.117132121	0.121723203	-0.608018764	0.118382237	-0.118884285	0.102050569	NA	NA	0.066666667
97	BLANCO2010	4	2	23	31	41	NA	-0.521620472	0.047491831	-0.253229668	0.047809796	-1.282438417	0.051448719	NA	NA	0.037037037
98	SMITS2006	4	3	24	24	24	NA	-0.494649276	0.151436384	0.069457394	0.143952076	-0.33273846	0.144903181	NA	NA	0.076923077
99	FURMARK2009b	4	5	7	8	8	NA	0.136746976	0.053544459	0.080320801	0.052579209	0.411722844	0.05291421	NA	NA	0.034482759
100	LADER2004	5	2	15	15	15	18	-0.304880876	0.01006318	-0.569978222	0.010179183	-0.386028735	0.010013582	-0.449313527	0.010003406	0.006060606
101	DAVIDSON2004b	5	2	16	30	30	37	-0.671526072	0.026136869	-0.497003859	0.025200991	-0.614339904	0.025542189	-0.531314484	0.025378379	0.017467249
